account,ip,server_name,broker,inactive,min_volume,ip_ipv4,is_main_account,fallow_main_acc
222057751,172.31.31.227,mt4_server_6,ADSS-Live1,1,1,3.8.40.110,0,222057730
222057730,172.31.44.173,mt4_server_3,ADSS-Live1,1,1,35.178.221.177,0,222057730
222057728,172.31.29.23,mt4_server_4,ADSS-Live1,1,1,3.8.216.207,0,222057730
222057267,172.31.24.73,mt4_server_8,ADSS-Live1,1,1,35.178.11.110,0,222057730
222057151,172.31.22.4,mt4_server_7,ADSS-Live1,1,1,35.177.25.61,0,222057730
222057873,172.31.29.31,mt4_server_10,ADSS-Live1,1,1,35.178.169.192,0,222057730
222057937,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,0,222057730
222057875,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,0,222057730
222057942,172.31.44.173,mt4_server_3,ADSS-Live1,1,1,35.178.221.177,0,222057730
222057943,172.31.29.23,mt4_server_4,ADSS-Live1,1,1,3.8.216.207,0,222057730
222057982,172.31.30.98,mt4_server_5,ADSS-Live1,1,1,3.8.154.108,0,222057730
222057985,172.31.31.227,mt4_server_6,ADSS-Live1,1,1,3.8.40.110,0,222057730
222058034,172.31.24.73,mt4_server_8,ADSS-Live1,1,1,35.178.11.110,0,222057730
222058031,172.31.25.98,mt4_server_9,ADSS-Live1,1,1,35.177.188.187,0,222057730
222058035,172.31.29.31,mt4_server_10,ADSS-Live1,1,1,35.178.169.192,0,222057730
222058041,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,0,222057730
222058036,172.31.22.4,mt4_server_7,ADSS-Live1,1,1,35.177.25.61,0,222057730
222058100,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,0,222057730
222057797,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,0,222057730
222057801,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,0,222057730
222057152,172.31.30.98,mt4_server_5,ADSS-Live1,1,1,3.8.154.108,0,222057730
222057149,172.31.25.98,mt4_server_9,ADSS-Live1,1,1,35.177.188.187,0,222057730
59466,172.31.22.70,mt4_server_1,IFCMarkets-Real,1,1,18.130.60.24,0,222057730
59575,172.31.18.143,mt4_server_2,IFCMarkets-Real,1,1,18.130.141.86,0,222057730
59670,172.31.44.173,mt4_server_3,IFCMarkets-Real,1,1,35.178.221.177,0,222057730
9767126,172.31.44.173,mt4_server_3,ThinkForexAU-Live,1,1,35.178.221.177,0,222057730
9767128,172.31.30.98,mt4_server_5,ThinkForexAU-Live,1,1,3.8.154.108,0,222057730
9767134,172.31.29.23,mt4_server_4,ThinkForexAU-Live,1,1,3.8.216.207,0,222057730
233815,172.31.29.23,mt4_server_4,SimpleFX-LiveUK,1,1,3.8.216.207,0,222057730
233873,172.31.30.98,mt4_server_5,SimpleFX-LiveUK,1,1,3.8.154.108,0,222057730
233877,172.31.31.227,mt4_server_6,SimpleFX-LiveUK,1,1,3.8.40.110,0,222057730
232841,172.31.22.4,mt4_server_7,SimpleFX-LiveUK,1,1,35.177.25.61,0,222057730
232989,172.31.24.73,mt4_server_8,SimpleFX-LiveUK,1,1,35.178.11.110,0,222057730
232911,172.31.25.98,mt4_server_9,SimpleFX-LiveUK,1,1,35.177.188.187,0,222057730
233875,172.31.29.31,mt4_server_10,SimpleFX-LiveUK,1,1,35.178.169.192,0,222057730
233878,172.31.22.70,mt4_server_1,SimpleFX-LiveUK,1,1,18.130.60.24,0,222057730
234116,172.31.18.143,mt4_server_2,SimpleFX-LiveUK,1,1,18.130.141.86,0,222057730
234123,172.31.44.173,mt4_server_3,SimpleFX-LiveUK,1,1,35.178.221.177,0,222057730
233862,172.31.29.23,mt4_server_4,SimpleFX-LiveUK,1,1,3.8.216.207,0,222057730
80031475,172.31.29.31,mt4_server_10,Ava-Real5,1,1,35.178.169.192,0,222057730
155974,172.31.22.70,mt4_server_1,XTRINT-Live,1,1,18.130.60.24,0,222057730